 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.05E-01   2.35E-03   2.52E-06   5.20E-10   1.25E-11   3.93E-12
   Max.:          2.93E+02   6.36E+00   8.94E-03   5.31E-07   2.57E-08   6.97E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
  -104    -103    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -103    -102    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -102    -101    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -101    -100    1.65E+00   1.40E-02   2.06E-05   3.46E-09   6.06E-11   1.81E-11
  -100     -99    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -99     -98    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -98     -97    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -97     -96    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -96     -95    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -95     -94    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -94     -93    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -93     -92    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -92     -91    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -91     -90    4.99E+00   5.10E-02   7.41E-05   7.02E-09   1.21E-10   3.62E-11
   -90     -89    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -89     -88    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -88     -87    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -87     -86    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -86     -85    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -85     -84    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -84     -83    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -83     -82    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -82     -81    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -81     -80    4.32E+01   7.81E-01   1.67E-03   3.16E-08   2.55E-09   1.18E-09
   -80     -79    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -79     -78    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -78     -77    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -77     -76    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -76     -75    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -75     -74    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -74     -73    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -73     -72    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -72     -71    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -71     -70    1.38E+02   3.14E+00   3.12E-03   1.62E-07   8.05E-09   2.26E-09
   -70     -69    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -69     -68    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -68     -67    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -67     -66    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -66     -65    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -65     -64    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -64     -63    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -63     -62    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -62     -61    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -61     -60    1.52E+02   3.35E+00   3.66E-03   2.73E-07   1.43E-08   3.04E-09
   -60     -59    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
   -59     -58    1.71E+02   3.77E+00   4.92E-03   2.75E-07   1.53E-08   3.87E-09
