 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  a =   7478.135  e =  0.000000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.69E-06   2.81E-12   2.81E-12   1.80E-09   2.58E-12   1.29E-12
   Max.:          4.72E+03   1.12E+02   1.30E-01   1.10E-05   4.52E-07   9.85E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   7.8     7.9    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   7.9     8.0    1.46E+03   3.22E+01   3.64E-02   2.67E-06   1.31E-07   2.98E-08
   8.0     8.1    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.1     8.2    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.2     8.3    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.3     8.4    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.4     8.5    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.5     8.6    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.6     8.7    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.7     8.8    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.8     8.9    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   8.9     9.0    1.67E+03   3.66E+01   5.16E-02   2.81E-06   1.53E-07   4.00E-08
   9.0     9.1    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.1     9.2    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.2     9.3    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.3     9.4    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.4     9.5    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.5     9.6    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.6     9.7    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.7     9.8    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.8     9.9    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
   9.9    10.0    1.94E+03   4.34E+01   5.96E-02   3.06E-06   1.73E-07   4.63E-08
  10.0    10.1    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.1    10.2    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.2    10.3    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.3    10.4    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.4    10.5    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.5    10.6    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.6    10.7    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.7    10.8    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.8    10.9    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  10.9    11.0    2.28E+03   5.24E+01   6.89E-02   3.35E-06   1.98E-07   5.12E-08
  11.0    11.1    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.1    11.2    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.2    11.3    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.3    11.4    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.4    11.5    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.5    11.6    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.6    11.7    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.7    11.8    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.8    11.9    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  11.9    12.0    3.40E+03   7.30E+01   9.97E-02   4.42E-06   2.78E-07   7.60E-08
  12.0    12.1    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.1    12.2    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.2    12.3    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.3    12.4    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.4    12.5    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.5    12.6    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.6    12.7    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.7    12.8    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.8    12.9    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  12.9    13.0    4.72E+03   1.12E+02   1.12E-01   6.94E-06   4.02E-07   8.84E-08
  13.0    13.1    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.1    13.2    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.2    13.3    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.3    13.4    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.4    13.5    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.5    13.6    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.6    13.7    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.7    13.8    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.8    13.9    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  13.9    14.0    3.16E+03   6.82E+01   7.36E-02   1.10E-05   4.52E-07   7.02E-08
  14.0    14.1    1.09E+03   2.75E+01   1.30E-01   5.70E-06   3.39E-07   9.85E-08
