 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          6.45E-02   5.27E-04   2.76E-06   2.80E-10   2.02E-11   9.23E-12
   Max.:          2.05E+01   9.01E-02   3.96E-04   4.40E-08   4.77E-09   2.23E-09
 ------  ------   --------   --------   --------   --------   --------   --------  
   -69     -68    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -68     -67    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -67     -66    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -66     -65    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -65     -64    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -64     -63    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -63     -62    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -62     -61    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -61     -60    1.42E+01   7.87E-02   3.87E-04   4.40E-08   4.01E-09   1.87E-09
   -60     -59    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -59     -58    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -58     -57    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -57     -56    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -56     -55    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -55     -54    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -54     -53    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -53     -52    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -52     -51    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -51     -50    1.45E+01   7.59E-02   3.27E-04   3.26E-08   3.64E-09   1.70E-09
   -50     -49    1.61E+01   9.01E-02   3.96E-04   3.51E-08   4.15E-09   1.90E-09
