 ORDEM 3.1.2 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2042  Perigee Altitude =    400.000  Apogee Altitude =   400.000  inc =   51.60
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.29E-11   9.36E-12
   Max.:          4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   8.2     8.3    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.3     8.4    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.4     8.5    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.5     8.6    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.6     8.7    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.7     8.8    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.8     8.9    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   8.9     9.0    1.38E+02   7.82E-01   4.00E-03   5.06E-07   3.65E-08   1.74E-08
   9.0     9.1    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.1     9.2    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.2     9.3    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.3     9.4    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.4     9.5    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.5     9.6    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.6     9.7    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.7     9.8    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.8     9.9    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
   9.9    10.0    1.44E+02   7.38E-01   3.17E-03   3.94E-07   3.67E-08   1.69E-08
  10.0    10.1    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.1    10.2    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.2    10.3    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.3    10.4    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.4    10.5    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.5    10.6    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.6    10.7    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.7    10.8    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.8    10.9    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  10.9    11.0    1.57E+02   8.05E-01   3.58E-03   4.04E-07   4.33E-08   2.06E-08
  11.0    11.1    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.1    11.2    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.2    11.3    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.3    11.4    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.4    11.5    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.5    11.6    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.6    11.7    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.7    11.8    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.8    11.9    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  11.9    12.0    1.97E+02   1.04E+00   4.36E-03   3.78E-07   4.75E-08   2.03E-08
  12.0    12.1    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.1    12.2    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.2    12.3    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.3    12.4    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.4    12.5    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.5    12.6    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.6    12.7    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.7    12.8    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.8    12.9    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  12.9    13.0    2.90E+02   1.41E+00   5.80E-03   5.11E-07   5.95E-08   2.81E-08
  13.0    13.1    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.1    13.2    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.2    13.3    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.3    13.4    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.4    13.5    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.5    13.6    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.6    13.7    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.7    13.8    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.8    13.9    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  13.9    14.0    3.34E+02   1.49E+00   4.64E-03   7.41E-07   7.29E-08   3.17E-08
  14.0    14.1    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.1    14.2    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.2    14.3    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.3    14.4    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.4    14.5    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.5    14.6    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.6    14.7    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.7    14.8    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.8    14.9    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  14.9    15.0    4.29E+02   1.83E+00   7.81E-03   1.11E-06   1.41E-07   6.65E-08
  15.0    15.1    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.1    15.2    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.2    15.3    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.3    15.4    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.4    15.5    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.5    15.6    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.6    15.7    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.7    15.8    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.8    15.9    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  15.9    16.0    3.30E+01   9.60E-02   1.05E-04   5.42E-08   7.84E-09   1.85E-09
  16.0    16.1    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.1    16.2    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.2    16.3    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.3    16.4    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.4    16.5    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.5    16.6    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.6    16.7    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.7    16.8    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.8    16.9    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  16.9    17.0    1.15E+00   1.90E-03   2.93E-06   2.41E-09   1.29E-11   9.36E-12
  17.0    17.1    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.1    17.2    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.2    17.3    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.3    17.4    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.4    17.5    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.5    17.6    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.6    17.7    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.7    17.8    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.8    17.9    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  17.9    18.0    2.78E-01   3.95E-06   4.01E-08   4.54E-11   1.00E-99   1.00E-99
  18.0    18.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.1    18.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.2    18.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.3    18.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.4    18.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.5    18.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.6    18.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.7    18.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.8    18.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.9    19.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.0    19.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.1    19.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.2    19.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.3    19.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.4    19.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.5    19.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.6    19.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.7    19.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.8    19.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.9    20.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.0    20.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.1    20.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.2    20.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.3    20.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.4    20.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.5    20.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.6    20.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.7    20.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.8    20.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.9    21.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.0    21.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.1    21.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.2    21.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.3    21.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.4    21.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.5    21.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.6    21.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.7    21.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.8    21.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.9    22.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.0    22.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.1    22.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.2    22.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.3    22.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.4    22.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.5    22.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.6    22.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.7    22.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.8    22.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.9    23.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
